location_id;description;city;address;region
09809; Bank robbery scene; Kyiv; Shevchenko St. 12;Kyivska
09807; Murder site; Lviv; Halytska St. 5; Lvivska
09705;Abandoned house; Odesa; Deribasivska 33; Odeska
07803; Forest area; Kharkiv; Lisova 1; Kharkivska
09543; Apartment complex; Dnipro; Kozatska 4; Dnipropetrovska
07645; Car crash site; Kyiv; Bohdan Khmelnytsky 10; Kyivska
09876; Warehouse; Lutsk; Promyslova 17; Volynska
08765; Old bridge; Poltava; Riverside 22; Poltavska
09762; Park area; Ternopil; Zelena 9; Ternopilska
04598; Train station; Uzhhorod; Vokzalna; Zakarpatska
